#{"t_start": 1643843965.0871706, "env_id": "happinize-v1"}
r,l,t
330.329548,42,0.02474
381.296078,46,0.034917
433.517313,49,3.010328
301.134765,41,3.148329
370.224245,49,3.457741
410.116153,57,3.605297
327.536119,44,3.855891
357.631434,49,3.999691
346.810879,45,4.272352
343.134855,42,4.429554
293.967547,38,4.576751
385.451494,51,4.835452
396.949413,54,4.978689
294.695546,51,5.239991
198.66317,35,5.441167
221.853338,40,5.576729
292.603902,51,5.838295
266.658683,48,5.98068
285.107886,48,6.243838
262.213462,46,6.386377
280.678005,49,6.652789
269.213573,51,6.926877
270.968404,47,7.079546
258.154083,44,7.22325
213.448301,37,7.535182
116.278637,23,7.545961
317.874811,55,7.806218
288.848937,51,8.069067
283.346273,51,8.214212
274.758043,45,8.486875
148.873476,25,8.498672
271.44442,49,8.763435
257.98855,45,8.904889
266.020416,47,9.171427
273.969212,48,9.324819
276.371666,48,9.652778
214.446617,36,9.805215
236.339544,42,9.950393
256.92923,43,10.208214
287.818569,50,10.352432
280.387948,51,10.613639
218.032007,40,10.752755
60.751109,11,10.757887
205.492923,36,10.893663
168.970715,30,11.028248
271.114564,49,11.288292
92.578664,18,11.296517
325.845861,57,11.574429
319.918012,57,11.881298
295.431285,53,12.149515
261.318404,48,12.294499
220.350151,39,12.432788
247.432602,43,12.691822
239.649994,43,12.83461
283.210508,49,13.095858
208.534911,40,13.233513
226.246586,39,13.374091
311.243464,52,13.640317
252.68105,45,13.82082
261.779837,45,14.080139
315.86036,57,14.225127
266.434158,46,14.484516
241.213682,43,14.624578
297.206167,57,14.890259
287.263313,50,15.03726
224.383424,41,15.296404
218.182654,41,15.437139
176.38553,32,15.597351
214.929394,38,15.734602
309.672067,53,16.048998
318.452584,56,16.315616
256.450428,42,16.456424
286.061334,50,16.601634
314.655981,55,16.863636
258.904772,46,17.135047
252.045204,44,17.278966
254.919088,45,17.420389
262.769077,47,17.678356
142.324098,25,17.811485
291.20936,51,18.000517
205.094979,36,18.136656
261.006588,46,18.39851
105.040051,19,18.407012
202.722039,33,18.546356
67.028883,13,18.676657
216.770135,38,18.816055
279.070244,48,19.076808
252.231583,44,19.218275
287.274028,51,19.361622
283.164167,48,19.619756
183.487894,33,19.755721
274.683155,50,20.065449
263.789401,47,20.212405
251.18149,48,20.476539
239.873312,44,20.617385
255.700026,44,20.773789
251.344527,44,21.038327
319.884273,57,21.189675
270.214595,49,21.458051
170.613466,30,21.596828
211.082142,39,21.739704
325.50792,58,22.071811
258.719518,48,22.218074
288.290943,51,22.488511
300.825638,51,22.755068
174.702071,31,22.889061
265.319907,45,23.030404
247.299345,44,23.169415
240.662972,42,23.435968
214.624333,38,23.609154
184.572108,28,24.172702
332.046735,59,24.452438
17.492829,3,24.454549
252.50251,44,24.639822
223.648805,40,24.779486
295.780486,51,25.049081
211.262907,39,25.188449
264.275103,46,25.450829
264.514723,44,25.592413
145.649565,25,25.724375
160.617751,28,25.85759
248.90361,44,25.998896
323.872212,55,26.32009
302.456314,54,26.469625
185.39386,34,26.615906
278.215066,49,26.883575
274.508021,47,27.02925
233.091454,43,27.29026
234.572074,42,27.432536
281.440583,50,27.702099
228.656654,40,27.849632
244.648524,40,27.992669
306.671821,56,28.310277
246.386149,44,28.454033
158.720294,25,28.589776
310.322592,56,28.857168
275.281898,47,29.007434
165.648622,28,29.144692
217.510066,39,29.285148
289.262017,50,29.546062
251.342697,46,29.689984
66.109179,12,29.825137
