,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,state
0,0,141.59022800000002,2021-05-30 22:18:30.013663,2021-05-30 23:04:38.466822,0 days 00:46:08.453159,512,1000000,False,0.999,0.08155363937893231,small,0.6298442118856047,,1.0,COMPLETE
1,1,155.14072240000002,2021-05-30 22:18:30.021688,2021-05-30 22:57:36.461485,0 days 00:39:06.439797,100,10000,True,0.99,0.00039972326984447776,small,0.11664893130407894,normal,,COMPLETE
2,2,155.1795844,2021-05-30 22:57:36.462715,2021-05-30 23:40:06.034801,0 days 00:42:29.572086,32,1000000,True,0.98,0.0010266689540711978,big,0.8687744106545475,ornstein-uhlenbeck,,COMPLETE
3,3,85.2033962,2021-05-30 23:04:38.468074,2021-05-30 23:48:32.720502,0 days 00:43:54.252428,32,100000,False,0.9999,0.1741159193753491,big,0.9973411044497194,ornstein-uhlenbeck,128.0,COMPLETE
4,4,182.9778146,2021-05-30 23:40:06.036024,2021-05-31 00:21:33.651595,0 days 00:41:27.615571,16,10000,True,0.9,0.0012248743950237155,medium,0.8027853217145734,normal,,COMPLETE
5,5,131.319589,2021-05-30 23:48:32.721714,2021-05-31 00:30:45.569148,0 days 00:42:12.847434,32,1000000,True,0.99,0.02403494505835271,medium,0.8460103395603213,ornstein-uhlenbeck,,COMPLETE
6,6,169.5633406,2021-05-31 00:21:33.652867,2021-05-31 01:03:42.052332,0 days 00:42:08.399465,64,1000000,False,0.95,0.006579250175326264,small,0.7822202955571581,ornstein-uhlenbeck,128.0,COMPLETE
7,7,167.8744314,2021-05-31 00:30:45.570331,2021-05-31 01:13:15.750538,0 days 00:42:30.180207,64,100000,True,0.9,1.9331817423990456e-05,medium,0.5346032801589161,normal,,COMPLETE
8,8,160.5337314,2021-05-31 01:03:42.053498,2021-05-31 01:49:43.979986,0 days 00:46:01.926488,128,10000,True,0.99,0.0007128296023773793,big,0.883141985818909,,,COMPLETE
9,9,149.7080684,2021-05-31 01:13:15.751749,2021-05-31 01:54:13.286521,0 days 00:40:57.534772,32,100000,True,0.9999,8.000201061021733e-05,big,0.26907230734798404,normal,,COMPLETE
10,10,152.836916,2021-05-31 01:49:43.981167,2021-05-31 02:32:40.866499,0 days 00:42:56.885332,64,10000,True,0.9999,0.005515476998069896,small,0.49903584988676264,,,COMPLETE
11,11,59.32899640000001,2021-05-31 01:54:13.287906,2021-05-31 02:07:14.265728,0 days 00:13:00.977822,16,10000,True,0.995,1.0978718121787823e-05,medium,0.32659620088249,normal,,PRUNED
12,12,197.36505499999998,2021-05-31 02:07:14.266566,2021-05-31 02:47:06.573052,0 days 00:39:52.306486,64,1000000,False,0.95,0.008165108911085123,small,0.6840911449291929,ornstein-uhlenbeck,128.0,COMPLETE
13,13,133.3306274,2021-05-31 02:32:40.867760,2021-05-31 03:30:42.840205,0 days 00:58:01.972445,2048,1000000,False,0.95,0.008037997247066787,small,0.7008799852724183,ornstein-uhlenbeck,128.0,COMPLETE
14,14,155.3112988,2021-05-31 02:47:06.574338,2021-05-31 03:22:16.067906,0 days 00:35:09.493568,16,1000000,False,0.9,0.027671249549714047,medium,0.6914088525079647,normal,16.0,COMPLETE
15,15,113.5533514,2021-05-31 03:22:16.069209,2021-05-31 03:37:36.606856,0 days 00:15:20.537647,2048,10000,False,0.95,0.6448036303934187,small,0.6809570349290693,ornstein-uhlenbeck,2000.0,PRUNED
16,16,119.29380660000001,2021-05-31 03:30:42.841368,2021-05-31 03:43:00.633211,0 days 00:12:17.791843,256,10000,False,0.95,0.00017344356313752268,medium,0.976144005237782,normal,256.0,PRUNED
17,17,115.14551079999998,2021-05-31 03:37:36.607639,2021-05-31 04:18:10.389274,0 days 00:40:33.781635,256,10000,False,0.9,0.00015608202970190276,medium,0.468495339846351,normal,256.0,COMPLETE
18,18,84.98022460000001,2021-05-31 03:43:00.634039,2021-05-31 04:33:24.842552,0 days 00:50:24.208513,1024,10000,False,0.9,0.0027543473408059857,medium,0.485947381253541,normal,1000.0,COMPLETE
19,19,154.44740860000002,2021-05-31 04:18:10.390445,2021-05-31 05:11:49.540303,0 days 00:53:39.149858,1024,1000000,False,0.999,0.0017399930829380954,medium,0.582236376421337,ornstein-uhlenbeck,1000.0,COMPLETE
20,20,156.62779400000002,2021-05-31 04:33:24.843719,2021-05-31 05:10:14.786200,0 days 00:36:49.942481,16,1000000,True,0.995,0.0016257456645043201,small,0.5971482378465971,ornstein-uhlenbeck,,COMPLETE
21,21,146.87341320000002,2021-05-31 05:10:14.787409,2021-05-31 05:27:07.342149,0 days 00:16:52.554740,16,1000000,False,0.98,0.01660267794874933,small,0.7619579613333088,ornstein-uhlenbeck,128.0,PRUNED
22,22,137.6390218,2021-05-31 05:11:49.541529,2021-05-31 05:28:55.813338,0 days 00:17:06.271809,64,1000000,False,0.95,0.013807761968392967,small,0.7819637728825355,ornstein-uhlenbeck,128.0,PRUNED
23,23,135.1757978,2021-05-31 05:27:07.343034,2021-05-31 06:09:18.755543,0 days 00:42:11.412509,64,1000000,False,0.95,0.007408134399186076,small,0.7923859542398143,ornstein-uhlenbeck,128.0,COMPLETE
24,24,74.5043134,2021-05-31 05:28:55.814174,2021-05-31 05:41:36.631141,0 days 00:12:40.816967,64,1000000,False,0.95,0.10366853590566416,small,0.9381877152820531,ornstein-uhlenbeck,128.0,PRUNED
25,25,175.39496839999998,2021-05-31 05:41:36.631948,2021-05-31 06:24:09.677020,0 days 00:42:33.045072,64,1000000,False,0.95,0.003796061551006361,small,0.7728210059551825,ornstein-uhlenbeck,2000.0,COMPLETE
26,26,162.1832352,2021-05-31 06:09:18.756874,2021-05-31 06:49:50.705114,0 days 00:40:31.948240,64,1000000,False,0.95,0.003751900843059185,small,0.7560236415815375,ornstein-uhlenbeck,1.0,COMPLETE
27,27,152.35698820000002,2021-05-31 06:24:09.678314,2021-05-31 07:10:05.663203,0 days 00:45:55.984889,512,100000,False,0.9,0.0005018573450244655,small,0.9149201676575361,,2000.0,COMPLETE
28,28,84.698695,2021-05-31 06:49:50.706280,2021-05-31 07:01:29.567132,0 days 00:11:38.860852,100,100000,True,0.9,0.045083623718114994,small,0.912897358278964,,,PRUNED
29,29,108.91825220000001,2021-05-31 07:01:29.567948,2021-05-31 07:13:29.116985,0 days 00:11:59.549037,128,10000,False,0.995,0.00047226800691359765,medium,0.6368786296320679,normal,2000.0,PRUNED
30,30,171.60623500000003,2021-05-31 07:10:05.664430,2021-05-31 07:52:51.398044,0 days 00:42:45.733614,128,1000000,False,0.999,0.2632063120855797,medium,0.4177622077567967,normal,2000.0,COMPLETE
31,31,121.43715220000001,2021-05-31 07:13:29.117801,2021-05-31 07:26:39.603941,0 days 00:13:10.486140,512,1000000,True,0.999,0.35439961523303937,small,0.36255290206678903,ornstein-uhlenbeck,,PRUNED
32,32,131.064142,2021-05-31 07:26:39.604717,2021-05-31 08:08:10.835123,0 days 00:41:31.230406,64,1000000,False,0.95,0.0030729252335047782,small,0.8291752183855029,ornstein-uhlenbeck,16.0,COMPLETE
33,33,73.2557614,2021-05-31 07:52:51.399223,2021-05-31 08:05:31.595587,0 days 00:12:40.196364,128,1000000,False,0.999,0.904565512000226,medium,0.39812144966925916,normal,2000.0,PRUNED
34,34,89.8291614,2021-05-31 08:05:31.596432,2021-05-31 08:18:11.000302,0 days 00:12:39.403870,128,1000000,False,0.999,0.05901587402250711,medium,0.43035594696808754,normal,2000.0,PRUNED
35,35,185.7170046,2021-05-31 08:08:10.836301,2021-05-31 08:50:39.432916,0 days 00:42:28.596615,128,1000000,False,0.999,0.0011371303570233947,medium,0.23294320358251244,normal,2000.0,COMPLETE
36,36,145.03511880000002,2021-05-31 08:18:11.001086,2021-05-31 08:35:12.361873,0 days 00:17:01.360787,100,1000000,False,0.98,0.0011376869755492568,medium,0.19307781655044276,normal,2000.0,PRUNED
37,37,151.96915,2021-05-31 08:35:12.362703,2021-05-31 09:24:03.744388,0 days 00:48:51.381685,128,1000000,False,0.999,0.152354404077889,big,0.040978062033705964,normal,2000.0,COMPLETE
38,38,120.54479819999999,2021-05-31 08:50:39.434154,2021-05-31 09:31:42.576306,0 days 00:41:03.142152,16,1000000,True,0.99,0.00030949733663949275,big,0.09675647429274464,normal,,COMPLETE
39,39,146.0049998,2021-05-31 09:24:03.745595,2021-05-31 09:37:01.371645,0 days 00:12:57.626050,16,10000,True,0.99,0.0002744297108361158,medium,0.04496037292612415,ornstein-uhlenbeck,,PRUNED
40,40,80.1677686,2021-05-31 09:31:42.577573,2021-05-31 09:48:53.022968,0 days 00:17:10.445395,64,10000,True,0.95,4.9014733285366105e-05,medium,0.7235545927027418,ornstein-uhlenbeck,,PRUNED
41,41,198.17588279999998,2021-05-31 09:37:01.372538,2021-05-31 10:19:19.111271,0 days 00:42:17.738733,64,100000,True,0.9999,0.000897771215279721,medium,0.5500867282292744,,,COMPLETE
42,42,152.8384026,2021-05-31 09:48:53.023761,2021-05-31 10:31:01.316011,0 days 00:42:08.292250,128,1000000,False,0.999,0.0020480167175591433,medium,0.22002758254697447,normal,2000.0,COMPLETE
43,43,132.7128138,2021-05-31 10:19:19.112489,2021-05-31 11:01:44.856745,0 days 00:42:25.744256,64,100000,True,0.9999,0.0010204692589059346,medium,0.6506981633939114,,,COMPLETE
44,44,170.690175,2021-05-31 10:31:01.317306,2021-05-31 11:13:52.484523,0 days 00:42:51.167217,64,100000,True,0.9999,0.000738189276001383,medium,0.5465729020582899,,,COMPLETE
45,45,145.8670702,2021-05-31 11:01:44.857955,2021-05-31 11:14:35.766752,0 days 00:12:50.908797,32,100000,True,0.9999,0.0046550944537948145,medium,0.5675508724987736,,,PRUNED
46,46,135.74856100000002,2021-05-31 11:13:52.485800,2021-05-31 11:50:43.971680,0 days 00:36:51.485880,32,100000,True,0.9999,0.004227800902554873,medium,0.8595453399363864,,,COMPLETE
47,47,135.96046959999998,2021-05-31 11:14:35.767580,2021-05-31 11:27:31.948767,0 days 00:12:56.181187,64,100000,True,0.9999,0.008974624599203378,big,0.8344580770389702,,,PRUNED
48,48,152.98222779999998,2021-05-31 11:27:31.949652,2021-05-31 12:29:51.915926,0 days 01:02:19.966274,2048,100000,True,0.9,0.0011327861190153503,medium,0.7266972747956724,,,COMPLETE
49,49,146.21953580000002,2021-05-31 11:50:43.972830,2021-05-31 12:42:39.791303,0 days 00:51:55.818473,2048,100000,True,0.9,0.0009064564584023773,small,0.6180812948653666,,,COMPLETE
50,50,83.6722784,2021-05-31 12:29:51.917097,2021-05-31 12:40:45.005866,0 days 00:10:53.088769,256,10000,True,0.98,0.012942510110393391,small,0.6823541233468131,normal,,PRUNED
51,51,147.0339348,2021-05-31 12:40:45.006741,2021-05-31 13:29:53.004290,0 days 00:49:07.997549,1024,1000000,False,0.95,0.0001331942156734337,small,0.6093432370961254,ornstein-uhlenbeck,1000.0,COMPLETE
52,52,161.5485756,2021-05-31 12:42:39.792491,2021-05-31 13:22:03.108914,0 days 00:39:23.316423,128,1000000,False,0.999,0.0021368627746974666,medium,0.25603167432516627,normal,2000.0,COMPLETE
53,53,125.254109,2021-05-31 13:22:03.110114,2021-05-31 14:05:04.570519,0 days 00:43:01.460405,128,1000000,False,0.999,0.027178489398852874,medium,0.5084283996940044,normal,2000.0,COMPLETE
54,54,137.79793160000003,2021-05-31 13:29:53.005475,2021-05-31 13:49:22.502655,0 days 00:19:29.497180,128,1000000,False,0.999,0.0005510789130158424,medium,0.32011753115452884,normal,2000.0,PRUNED
55,55,163.73153059999999,2021-05-31 13:49:22.503466,2021-05-31 14:32:10.401100,0 days 00:42:47.897634,64,1000000,False,0.999,0.031013333679347953,medium,0.5168137383829613,normal,1.0,COMPLETE
56,56,189.6412716,2021-05-31 14:05:04.571691,2021-05-31 14:47:54.198912,0 days 00:42:49.627221,64,1000000,False,0.95,0.000252488054349298,medium,0.4471318700180364,normal,16.0,COMPLETE
57,57,130.8134756,2021-05-31 14:32:10.402272,2021-05-31 14:44:51.349889,0 days 00:12:40.947617,16,1000000,False,0.95,0.0002801049464539446,medium,0.4589172955712846,normal,16.0,PRUNED
58,58,164.11300839999998,2021-05-31 14:44:51.350733,2021-05-31 15:27:17.695244,0 days 00:42:26.344511,64,10000,False,0.995,0.0014291339216587024,medium,0.13541463107342555,normal,2000.0,COMPLETE
59,59,84.45621,2021-05-31 14:47:54.200253,2021-05-31 15:00:36.452690,0 days 00:12:42.252437,64,10000,False,0.95,3.7576912647362835e-05,medium,0.6509014008260895,ornstein-uhlenbeck,16.0,PRUNED
60,60,154.23663820000002,2021-05-31 15:00:36.453500,2021-05-31 15:42:38.648569,0 days 00:42:02.195069,64,1000000,False,0.95,0.00010314955461980071,small,0.8094431248058946,normal,16.0,COMPLETE
61,61,115.3706774,2021-05-31 15:27:17.696500,2021-05-31 15:39:52.284023,0 days 00:12:34.587523,64,1000000,False,0.95,0.00014137599107203911,small,0.8050132501966671,ornstein-uhlenbeck,16.0,PRUNED
62,62,202.1723342,2021-05-31 15:39:52.284863,2021-05-31 16:18:47.428073,0 days 00:38:55.143210,64,1000000,False,0.95,0.002772695292686565,medium,0.41017916392452114,normal,16.0,COMPLETE
63,63,174.6798478,2021-05-31 15:42:38.649802,2021-05-31 16:29:52.156041,0 days 00:47:13.506239,512,1000000,False,0.95,0.002557967099046158,medium,0.4290074848607713,normal,256.0,COMPLETE
64,64,182.36357779999997,2021-05-31 16:18:47.429400,2021-05-31 16:59:53.515548,0 days 00:41:06.086148,64,1000000,False,0.95,0.002522829996694649,medium,0.29587841632961637,normal,16.0,COMPLETE
65,65,140.3036342,2021-05-31 16:29:52.157282,2021-05-31 16:48:50.518240,0 days 00:18:58.360958,64,1000000,False,0.95,0.005475301144652042,medium,0.3843610420127249,normal,16.0,PRUNED
66,66,177.22558800000002,2021-05-31 16:48:50.519032,2021-05-31 17:31:01.112624,0 days 00:42:10.593592,64,1000000,False,0.95,0.000582302266733645,medium,0.7414736069877613,normal,16.0,COMPLETE
67,67,162.3983612,2021-05-31 16:59:53.516736,2021-05-31 17:41:58.413882,0 days 00:42:04.897146,64,1000000,False,0.95,0.0015542219681934089,medium,0.2843874513925129,normal,16.0,COMPLETE
