,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,320.9923009506,2022-01-27 21:43:58.902886,2022-01-28 01:36:38.525615,0 days 03:52:39.622729,512,10000,0.9999,0.0004925666808211557,medium,0.652600237754298,,0.005,128,COMPLETE
1,1,322.58405719480004,2022-01-27 21:43:58.907473,2022-01-28 01:04:00.281820,0 days 03:20:01.374347,128,1000000,0.9,0.07056503753140252,medium,0.5650860148916401,normal,0.02,1,COMPLETE
2,2,327.5496559215,2022-01-28 01:04:00.283184,2022-01-28 04:28:54.293043,0 days 03:24:54.009859,128,10000,0.995,0.0012150868345577588,medium,0.6507509397537536,normal,0.02,8,COMPLETE
3,3,340.67253218520005,2022-01-28 01:36:38.526898,2022-01-28 04:50:57.568233,0 days 03:14:19.041335,32,10000,0.9,0.0005034595173540696,small,0.6670085021252404,ornstein-uhlenbeck,0.02,128,COMPLETE
4,4,327.0680596739,2022-01-28 04:28:54.294241,2022-01-28 09:42:16.156090,0 days 05:13:21.861849,1024,1000000,0.99,0.00010793225496221091,big,0.7921305414201507,normal,0.05,16,COMPLETE
5,5,326.05590831420005,2022-01-28 04:50:57.569563,2022-01-28 07:40:13.422272,0 days 02:49:15.852709,100,1000000,0.98,0.051095252845174015,medium,0.1597793765243367,normal,0.05,1,COMPLETE
6,6,327.0748218255,2022-01-28 07:40:13.423780,2022-01-28 11:51:13.598145,0 days 04:11:00.174365,1024,10000,0.995,0.0007343743438617275,small,0.14426035161377326,normal,0.08,512,COMPLETE
7,7,320.4115861147,2022-01-28 09:42:16.157527,2022-01-28 13:05:13.629193,0 days 03:22:57.471666,100,1000000,0.98,0.15373519551862658,big,0.8303333295931982,,0.001,16,COMPLETE
8,8,223.3688376279,2022-01-28 11:51:13.599542,2022-01-28 15:06:33.745454,0 days 03:15:20.145912,16,100000,0.99,0.026141081667661444,medium,0.8553588627332382,,0.01,8,COMPLETE
9,9,322.63873185130007,2022-01-28 13:05:13.630601,2022-01-28 16:35:42.450203,0 days 03:30:28.819602,100,10000,0.99,0.015533053302330815,big,0.5110176812484393,,0.001,32,COMPLETE
10,10,326.90285501849996,2022-01-28 15:06:33.746755,2022-01-28 19:53:53.216970,0 days 04:47:19.470215,2048,10000,0.9,0.0005402905171354419,small,0.9302852531950893,,0.001,1,COMPLETE
